subject,relation,object
"Periodontal disease, Trauma, Osteoporosis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Black spots on teeth,indicates,"Dental caries, Staining, Fluorosis"
"Dental caries, Staining, Fluorosis",has severity,Mild
"Dental caries, Staining, Fluorosis",lasts for,180 days
"Dental caries, Staining, Fluorosis",common in,Rural India
"Dental caries, Staining, Fluorosis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Tooth discoloration,indicates,"Fluorosis, Tetracycline use, Poor dental hygiene"
"Fluorosis, Tetracycline use, Poor dental hygiene",has severity,Mild
"Fluorosis, Tetracycline use, Poor dental hygiene",lasts for,180 days
"Fluorosis, Tetracycline use, Poor dental hygiene",common in,Rural India
"Fluorosis, Tetracycline use, Poor dental hygiene",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Bad breath,indicates,"Gum disease, Poor oral hygiene, Sinusitis"
"Gum disease, Poor oral hygiene, Sinusitis",has severity,Mild
"Gum disease, Poor oral hygiene, Sinusitis",lasts for,14 days
"Gum disease, Poor oral hygiene, Sinusitis",common in,Pan-India
"Gum disease, Poor oral hygiene, Sinusitis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Painful gums,indicates,"Gingivitis, Dental abscess, Vitamin C deficiency"
"Gingivitis, Dental abscess, Vitamin C deficiency",has severity,Moderate
"Gingivitis, Dental abscess, Vitamin C deficiency",lasts for,7 days
"Gingivitis, Dental abscess, Vitamin C deficiency",common in,Pan-India
"Gingivitis, Dental abscess, Vitamin C deficiency",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Receding gums,indicates,"Periodontal disease, Aggressive brushing, Smoking"
"Periodontal disease, Aggressive brushing, Smoking",has severity,Moderate
"Periodontal disease, Aggressive brushing, Smoking",lasts for,180 days
"Periodontal disease, Aggressive brushing, Smoking",common in,Pan-India
"Periodontal disease, Aggressive brushing, Smoking",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Swollen gums,indicates,"Gingivitis, Pregnancy, Medication side effect"
"Gingivitis, Pregnancy, Medication side effect",has severity,Moderate
"Gingivitis, Pregnancy, Medication side effect",lasts for,7 days
"Gingivitis, Pregnancy, Medication side effect",common in,Pan-India
"Gingivitis, Pregnancy, Medication side effect",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Sores on gums,indicates,"Canker sores, Herpes, Oral cancer"
"Canker sores, Herpes, Oral cancer",has severity,Moderate
"Canker sores, Herpes, Oral cancer",lasts for,10 days
"Canker sores, Herpes, Oral cancer",common in,Pan-India
"Canker sores, Herpes, Oral cancer",available in language,"English, Hindi, Tamil, Bengali, Marathi"
White patches in mouth,indicates,"Oral thrush, Leukoplakia, Oral lichen planus"
"Oral thrush, Leukoplakia, Oral lichen planus",has severity,Moderate
"Oral thrush, Leukoplakia, Oral lichen planus",lasts for,14 days
"Oral thrush, Leukoplakia, Oral lichen planus",common in,Pan-India
"Oral thrush, Leukoplakia, Oral lichen planus",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Red patches in mouth,indicates,"Erythroplakia, Vitamin deficiency, Geographic tongue"
"Erythroplakia, Vitamin deficiency, Geographic tongue",has severity,Moderate
"Erythroplakia, Vitamin deficiency, Geographic tongue",lasts for,14 days
"Erythroplakia, Vitamin deficiency, Geographic tongue",common in,Pan-India
"Erythroplakia, Vitamin deficiency, Geographic tongue",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Swollen tongue,indicates,"Allergic reaction, Vitamin deficiency, Angioedema"
"Allergic reaction, Vitamin deficiency, Angioedema",has severity,Moderate
"Allergic reaction, Vitamin deficiency, Angioedema",lasts for,3 days
"Allergic reaction, Vitamin deficiency, Angioedema",common in,Pan-India
"Allergic reaction, Vitamin deficiency, Angioedema",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Geographic tongue,indicates,"Benign condition, Psoriasis, Vitamin deficiency"
"Benign condition, Psoriasis, Vitamin deficiency",has severity,Mild
"Benign condition, Psoriasis, Vitamin deficiency",lasts for,30 days
"Benign condition, Psoriasis, Vitamin deficiency",common in,Pan-India
"Benign condition, Psoriasis, Vitamin deficiency",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Hairy tongue,indicates,"Poor oral hygiene, Antibiotics, Tobacco use"
"Poor oral hygiene, Antibiotics, Tobacco use",has severity,Mild
"Poor oral hygiene, Antibiotics, Tobacco use",lasts for,14 days
"Poor oral hygiene, Antibiotics, Tobacco use",common in,Pan-India
"Poor oral hygiene, Antibiotics, Tobacco use",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Burning tongue,indicates,"Burning mouth syndrome, Vitamin B12 deficiency, Candidiasis"
"Burning mouth syndrome, Vitamin B12 deficiency, Candidiasis",has severity,Moderate
"Burning mouth syndrome, Vitamin B12 deficiency, Candidiasis",lasts for,30 days
"Burning mouth syndrome, Vitamin B12 deficiency, Candidiasis",common in,Pan-India
"Burning mouth syndrome, Vitamin B12 deficiency, Candidiasis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Dry mouth,indicates,"Sjögren's syndrome, Medication side effect, Dehydration"
"Sjögren's syndrome, Medication side effect, Dehydration",has severity,Mild
"Sjögren's syndrome, Medication side effect, Dehydration",lasts for,14 days
"Sjögren's syndrome, Medication side effect, Dehydration",common in,Pan-India
"Sjögren's syndrome, Medication side effect, Dehydration",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Excessive salivation,indicates,"Dental infection, Parkinson's disease, GERD"
"Dental infection, Parkinson's disease, GERD",has severity,Mild
"Dental infection, Parkinson's disease, GERD",lasts for,14 days
"Dental infection, Parkinson's disease, GERD",common in,Pan-India
"Dental infection, Parkinson's disease, GERD",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Difficulty opening mouth,indicates,"Tetanus, Temporomandibular joint disorder, Oral cancer"
"Tetanus, Temporomandibular joint disorder, Oral cancer",has severity,Moderate
"Tetanus, Temporomandibular joint disorder, Oral cancer",lasts for,21 days
"Tetanus, Temporomandibular joint disorder, Oral cancer",common in,Pan-India
"Tetanus, Temporomandibular joint disorder, Oral cancer",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Clicking jaw,indicates,"Temporomandibular joint disorder, Arthritis, Malocclusion"
"Temporomandibular joint disorder, Arthritis, Malocclusion",has severity,Mild
"Temporomandibular joint disorder, Arthritis, Malocclusion",lasts for,30 days
"Temporomandibular joint disorder, Arthritis, Malocclusion",common in,Urban India
"Temporomandibular joint disorder, Arthritis, Malocclusion",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Jaw pain,indicates,"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia"
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",has severity,Moderate
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",lasts for,14 days
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",common in,Urban India
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Facial swelling,indicates,"Dental abscess, Angioedema, Parotitis"
"Dental abscess, Angioedema, Parotitis",has severity,Moderate
"Dental abscess, Angioedema, Parotitis",lasts for,7 days
"Dental abscess, Angioedema, Parotitis",common in,Pan-India
"Dental abscess, Angioedema, Parotitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Facial pain,indicates,"Sinusitis, Trigeminal neuralgia, Dental abscess"
"Sinusitis, Trigeminal neuralgia, Dental abscess",has severity,Moderate
"Sinusitis, Trigeminal neuralgia, Dental abscess",lasts for,7 days
"Sinusitis, Trigeminal neuralgia, Dental abscess",common in,Pan-India
"Sinusitis, Trigeminal neuralgia, Dental abscess",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Facial redness,indicates,"Rosacea, Lupus, Seborrheic dermatitis"
"Rosacea, Lupus, Seborrheic dermatitis",has severity,Mild
"Rosacea, Lupus, Seborrheic dermatitis",lasts for,30 days
"Rosacea, Lupus, Seborrheic dermatitis",common in,North India
"Rosacea, Lupus, Seborrheic dermatitis",available in language,"English, Hindi, Punjabi, Urdu"
Facial rash,indicates,"Rosacea, Lupus, Contact dermatitis"
"Rosacea, Lupus, Contact dermatitis",has severity,Moderate
"Rosacea, Lupus, Contact dermatitis",lasts for,14 days
"Rosacea, Lupus, Contact dermatitis",common in,Pan-India
"Rosacea, Lupus, Contact dermatitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Nodules on face,indicates,"Acne, Rosacea, Basal cell carcinoma"
"Acne, Rosacea, Basal cell carcinoma",has severity,Moderate
"Acne, Rosacea, Basal cell carcinoma",lasts for,30 days
"Acne, Rosacea, Basal cell carcinoma",common in,Pan-India
"Acne, Rosacea, Basal cell carcinoma",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Open sores on face,indicates,"Impetigo, Herpes, Skin cancer"
"Impetigo, Herpes, Skin cancer",has severity,Moderate
"Impetigo, Herpes, Skin cancer",lasts for,14 days
"Impetigo, Herpes, Skin cancer",common in,Pan-India
"Impetigo, Herpes, Skin cancer",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Facial hair in women,indicates,"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect"
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",has severity,Moderate
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",lasts for,180 days
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",common in,Pan-India
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Hair loss,indicates,"Alopecia, Thyroid disorders, Iron deficiency"
"Alopecia, Thyroid disorders, Iron deficiency",has severity,Moderate
"Alopecia, Thyroid disorders, Iron deficiency",lasts for,90 days
"Alopecia, Thyroid disorders, Iron deficiency",common in,Pan-India
"Alopecia, Thyroid disorders, Iron deficiency",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Hair thinning,indicates,"Androgenetic alopecia, Hypothyroidism, Iron deficiency"
"Androgenetic alopecia, Hypothyroidism, Iron deficiency",has severity,Moderate
"Androgenetic alopecia, Hypothyroidism, Iron deficiency",lasts for,90 days
"Androgenetic alopecia, Hypothyroidism, Iron deficiency",common in,Pan-India
"Androgenetic alopecia, Hypothyroidism, Iron deficiency",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Brittle hair,indicates,"Hypothyroidism, Malnutrition, Cushing's syndrome"
"Hypothyroidism, Malnutrition, Cushing's syndrome",has severity,Mild
"Hypothyroidism, Malnutrition, Cushing's syndrome",lasts for,90 days
"Hypothyroidism, Malnutrition, Cushing's syndrome",common in,Pan-India
"Hypothyroidism, Malnutrition, Cushing's syndrome",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Dandruff,indicates,"Seborrheic dermatitis, Psoriasis, Fungal infection"
"Seborrheic dermatitis, Psoriasis, Fungal infection",has severity,Mild
"Seborrheic dermatitis, Psoriasis, Fungal infection",lasts for,30 days
"Seborrheic dermatitis, Psoriasis, Fungal infection",common in,Pan-India
"Seborrheic dermatitis, Psoriasis, Fungal infection",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Itchy scalp,indicates,"Seborrheic dermatitis, Head lice, Psoriasis"
"Seborrheic dermatitis, Head lice, Psoriasis",has severity,Mild
"Seborrheic dermatitis, Head lice, Psoriasis",lasts for,14 days
"Seborrheic dermatitis, Head lice, Psoriasis",common in,Pan-India
"Seborrheic dermatitis, Head lice, Psoriasis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Scalp sores,indicates,"Psoriasis, Seborrheic dermatitis, Folliculitis"
"Psoriasis, Seborrheic dermatitis, Folliculitis",has severity,Moderate
"Psoriasis, Seborrheic dermatitis, Folliculitis",lasts for,21 days
"Psoriasis, Seborrheic dermatitis, Folliculitis",common in,Pan-India
"Psoriasis, Seborrheic dermatitis, Folliculitis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Scalp tenderness,indicates,"Tension headache, Scalp infection, Temporal arteritis"
"Tension headache, Scalp infection, Temporal arteritis",has severity,Moderate
"Tension headache, Scalp infection, Temporal arteritis",lasts for,7 days
"Tension headache, Scalp infection, Temporal arteritis",common in,Pan-India
"Tension headache, Scalp infection, Temporal arteritis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Premature graying,indicates,"Genetic factors, Vitamin B12 deficiency, Thyroid disorders"
"Genetic factors, Vitamin B12 deficiency, Thyroid disorders",has severity,Mild
"Genetic factors, Vitamin B12 deficiency, Thyroid disorders",lasts for,365 days
"Genetic factors, Vitamin B12 deficiency, Thyroid disorders",common in,Pan-India
"Genetic factors, Vitamin B12 deficiency, Thyroid disorders",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Excessive hair growth,indicates,"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect"
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",has severity,Moderate
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",lasts for,180 days
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",common in,Pan-India
"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Boils,indicates,"Staphylococcal infection, Folliculitis, Hidradenitis suppurativa"
"Staphylococcal infection, Folliculitis, Hidradenitis suppurativa",has severity,Moderate
"Staphylococcal infection, Folliculitis, Hidradenitis suppurativa",lasts for,7 days
"Staphylococcal infection, Folliculitis, Hidradenitis suppurativa",common in,Pan-India
"Staphylococcal infection, Folliculitis, Hidradenitis suppurativa",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Skin tags,indicates,"Normal variant, Obesity, Insulin resistance"
"Normal variant, Obesity, Insulin resistance",has severity,Mild
"Normal variant, Obesity, Insulin resistance",lasts for,365 days
"Normal variant, Obesity, Insulin resistance",common in,Pan-India
"Normal variant, Obesity, Insulin resistance",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Moles,indicates,"Normal variant, Atypical nevus, Melanoma"
"Normal variant, Atypical nevus, Melanoma",has severity,Mild
"Normal variant, Atypical nevus, Melanoma",lasts for,365 days
"Normal variant, Atypical nevus, Melanoma",common in,Pan-India
"Normal variant, Atypical nevus, Melanoma",available in language,"English, Hindi, Tamil, Bengali, Telugu"
